zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
79731,31.41809,-102.4833,Crane,TX,Texas,TRUE,,4193,4.9,48103,Crane,"{'48103':99.95,'48461':0.05}",FALSE,FALSE,America/Chicago
79733,32.10287,-101.36544,Forsan,TX,Texas,TRUE,,210,44.3,48227,Howard,{'48227':100},FALSE,FALSE,America/Chicago
79734,30.68395,-103.95565,Fort Davis,TX,Texas,TRUE,,2137,0.6,48243,Jeff Davis,{'48243':100},FALSE,FALSE,America/Chicago
79735,30.74292,-102.78315,Fort Stockton,TX,Texas,TRUE,,13315,3,48371,Pecos,"{'48043':0.02,'48371':99.98}",FALSE,FALSE,America/Chicago
79738,32.75708,-101.47557,Gail,TX,Texas,TRUE,,275,0.3,48033,Borden,{'48033':100},FALSE,FALSE,America/Chicago
79739,31.76368,-101.51602,Garden City,TX,Texas,TRUE,,963,0.7,48173,Glasscock,"{'48173':98.44,'48383':1.56}",FALSE,FALSE,America/Chicago
79741,31.97,-102.62753,Goldsmith,TX,Texas,TRUE,,288,0.5,48135,Ector,{'48135':100},FALSE,FALSE,America/Chicago
79742,31.34203,-102.86845,Grandfalls,TX,Texas,TRUE,,490,3.2,48475,Ward,{'48475':100},FALSE,FALSE,America/Chicago
79743,31.17762,-102.59435,Imperial,TX,Texas,TRUE,,339,0.5,48371,Pecos,{'48371':100},FALSE,FALSE,America/Chicago
79744,30.92196,-101.97037,Iraan,TX,Texas,TRUE,,1362,1,48371,Pecos,"{'48105':2.35,'48371':97.65}",FALSE,FALSE,America/Chicago
79745,31.82641,-103.052,Kermit,TX,Texas,TRUE,,6125,6,48495,Winkler,{'48495':100},FALSE,FALSE,America/Chicago
79748,32.41116,-101.65048,Knott,TX,Texas,TRUE,,173,1.2,48227,Howard,"{'48227':83.82,'48317':16.18}",FALSE,FALSE,America/Chicago
79749,32.28903,-101.87178,Lenorah,TX,Texas,TRUE,,255,1.5,48317,Martin,{'48317':100},FALSE,FALSE,America/Chicago
79752,31.21544,-102.15319,Mc Camey,TX,Texas,TRUE,,2245,4,48461,Upton,{'48461':100},FALSE,FALSE,America/Chicago
79754,31.80166,-103.59994,Mentone,TX,Texas,TRUE,,80,0.2,48301,Loving,{'48301':100},FALSE,FALSE,America/Chicago
79755,31.50464,-101.93778,Midkiff,TX,Texas,TRUE,,230,0.3,48461,Upton,{'48461':100},FALSE,FALSE,America/Chicago
79756,31.54579,-102.85809,Monahans,TX,Texas,TRUE,,9066,20.2,48475,Ward,"{'48103':0.08,'48475':99.92,'48495':0}",FALSE,FALSE,America/Chicago
79758,32.00814,-102.33409,Gardendale,TX,Texas,TRUE,,2197,16,48135,Ector,{'48135':100},FALSE,FALSE,America/Chicago
79759,31.79645,-102.7018,Notrees,TX,Texas,TRUE,,23,0,48135,Ector,{'48135':100},FALSE,FALSE,America/Chicago
79761,31.85574,-102.34958,Odessa,TX,Texas,TRUE,,30488,1155.2,48135,Ector,{'48135':100},FALSE,FALSE,America/Chicago
79762,31.92649,-102.35443,Odessa,TX,Texas,TRUE,,39056,475.8,48135,Ector,{'48135':100},FALSE,FALSE,America/Chicago
79763,31.79918,-102.46788,Odessa,TX,Texas,TRUE,,34079,242.3,48135,Ector,{'48135':100},FALSE,FALSE,America/Chicago
79764,31.89055,-102.47102,Odessa,TX,Texas,TRUE,,20725,137.4,48135,Ector,{'48135':100},FALSE,FALSE,America/Chicago
79765,31.92346,-102.29241,Odessa,TX,Texas,TRUE,,6927,129.5,48135,Ector,"{'48135':63.29,'48329':36.71}",FALSE,FALSE,America/Chicago
79766,31.70334,-102.41204,Odessa,TX,Texas,TRUE,,6115,9.9,48135,Ector,"{'48103':2.89,'48135':96.32,'48329':0.78}",FALSE,FALSE,America/Chicago
79770,31.86403,-103.92976,Orla,TX,Texas,TRUE,,33,0.1,48389,Reeves,{'48389':100},FALSE,FALSE,America/Chicago
79772,31.42539,-103.62296,Pecos,TX,Texas,TRUE,,12747,4.3,48389,Reeves,"{'48109':0,'48389':99.72,'48475':0.28}",FALSE,FALSE,America/Chicago
79777,31.49787,-103.12979,Pyote,TX,Texas,TRUE,,170,0.6,48475,Ward,{'48475':100},FALSE,FALSE,America/Chicago
79778,31.17612,-101.92388,Rankin,TX,Texas,TRUE,,878,3.2,48461,Upton,{'48461':100},FALSE,FALSE,America/Chicago
79780,31.06194,-103.59216,Saragosa,TX,Texas,TRUE,,224,0.7,48389,Reeves,{'48389':100},FALSE,FALSE,America/Chicago
79781,30.59596,-101.77778,Sheffield,TX,Texas,TRUE,,303,0.2,48371,Pecos,"{'48105':2.64,'48371':85.48,'48443':11.88}",FALSE,FALSE,America/Chicago
79782,32.15841,-101.84321,Stanton,TX,Texas,TRUE,,3976,3.3,48317,Martin,"{'48173':0.93,'48317':99.07}",FALSE,FALSE,America/Chicago
79783,32.32171,-102.04228,Tarzan,TX,Texas,TRUE,,201,0.5,48317,Martin,{'48317':100},FALSE,FALSE,America/Chicago
79785,31.32749,-103.90691,Toyah,TX,Texas,TRUE,,91,0.2,48389,Reeves,{'48389':100},FALSE,FALSE,America/Chicago
79788,31.57296,-102.98349,Wickett,TX,Texas,TRUE,,506,42.2,48475,Ward,{'48475':100},FALSE,FALSE,America/Chicago
79789,31.76026,-103.18576,Wink,TX,Texas,TRUE,,974,9.4,48495,Winkler,{'48495':100},FALSE,FALSE,America/Chicago
79821,31.97693,-106.59781,Anthony,TX,Texas,TRUE,,7142,241.9,48141,El Paso,{'48141':100},FALSE,FALSE,America/Denver
79830,29.80008,-103.22466,Alpine,TX,Texas,TRUE,,7682,1.5,48043,Brewster,{'48043':100},FALSE,FALSE,America/Chicago
79831,30.4295,-103.32553,Alpine,TX,Texas,TRUE,,29,0,48043,Brewster,{'48043':100},FALSE,FALSE,America/Chicago
79834,29.29122,-103.2653,Big Bend National Park,TX,Texas,TRUE,,200,0.1,48043,Brewster,{'48043':100},FALSE,FALSE,America/Chicago
79835,31.93522,-106.58693,Canutillo,TX,Texas,TRUE,,12690,414.2,48141,El Paso,{'48141':100},FALSE,FALSE,America/Denver
79836,31.57128,-106.2019,Clint,TX,Texas,TRUE,,5772,116.2,48141,El Paso,{'48141':100},FALSE,FALSE,America/Denver
79837,32.19025,-105.26698,Dell City,TX,Texas,TRUE,,579,0.1,48229,Hudspeth,"{'35035':10.36,'48229':89.64}",FALSE,FALSE,America/Denver
79838,31.49183,-106.17359,Fabens,TX,Texas,TRUE,,8699,114.2,48141,El Paso,{'48141':100},FALSE,FALSE,America/Ojinaga
79839,31.21315,-105.60772,Fort Hancock,TX,Texas,TRUE,,1938,1.5,48229,Hudspeth,{'48229':100},FALSE,FALSE,America/Denver
79842,30.09107,-103.11656,Marathon,TX,Texas,TRUE,,498,0.3,48043,Brewster,{'48043':100},FALSE,FALSE,America/Chicago
79843,30.12696,-104.22342,Marfa,TX,Texas,TRUE,,2503,0.7,48377,Presidio,{'48377':100},FALSE,FALSE,America/Chicago
